True clone	Inf clone	GE	Annotation
#Clo29	#Clo31	12	Initial
#Clo24	#Clo16	13	Initial
#Clo26	#Clo39	11	Initial
#Clo27	#Clo31	11	Initial
#Clo20	#Clo39	16	Initial
#Clo21	#Clo21	13	Initial
#Clo22	#Clo16	13	Initial
#Clo44	#Clo16	10	Initial
#Clo42	#Clo40	11	Initial
#Clo40	#Clo40	10	Initial
#Clo39	#Clo39	13	Initial
#Clo10	#Clo14	10	Initial
#Clo12	#Clo14	10	Initial
#Clo15	#Clo15	10	Initial
#Clo14	#Clo14	10	Initial
#Clo17	#Clo19	10	Initial
#Clo16	#Clo16	10	Initial
#Clo32	#Clo34	10	Initial
#Clo31	#Clo31	13	Initial
#Clo36	#Clo19	10	Initial
#Clo34	#Clo34	11	Initial
#Clo19	#Clo19	10	Initial
