True clone	Inf clone	GE	Annotation
#Clo24	#Clo26	4	Initial
#Clo26	#Clo26	5	Initial
#Clo27	#Clo29	1	Initial
#Clo20	#Clo18	2	Initial
#Clo22	#Clo18	3	Initial
#Clo23	#Clo40	4	Initial
#Clo29	#Clo29	2	Initial
#Clo40	#Clo40	1	Initial
#Clo8	#Clo10	1	Initial
#Clo13	#Clo17	2	Initial
#Clo12	#Clo34	2	Initial
#Clo10	#Clo10	2	Initial
#Clo38	#Clo38	1	Initial
#Clo15	#Clo17	3	Initial
#Clo17	#Clo17	4	Initial
#Clo32	#Clo32	1	Initial
#Clo31	#Clo34	2	Initial
#Clo36	#Clo34	1	Initial
#Clo35	#Clo35	1	Initial
#Clo34	#Clo34	2	Initial
#Clo18	#Clo18	2	Initial
