True clone	Inf clone	GE	Annotation
#Clo29	#Clo29	3	Initial
#Clo24	#Clo22	3	Initial
#Clo26	#Clo22	3	Initial
#Clo21	#Clo19	5	Initial
#Clo48	#Clo48	3	Initial
#Clo43	#Clo41	4	Initial
#Clo41	#Clo41	3	Initial
#Clo9	#Clo11	3	Initial
#Clo8	#Clo8	3	Initial
#Clo28	#Clo22	3	Initial
#Clo14	#Clo16	4	Initial
#Clo11	#Clo11	5	Initial
#Clo39	#Clo35	5	Initial
#Clo12	#Clo16	3	Initial
#Clo22	#Clo22	3	Initial
#Clo17	#Clo19	3	Initial
#Clo16	#Clo16	5	Initial
#Clo19	#Clo19	4	Initial
#Clo32	#Clo34	4	Initial
#Clo30	#Clo34	4	Initial
#Clo37	#Clo35	5	Initial
#Clo35	#Clo35	5	Initial
#Clo34	#Clo34	5	Initial
