True clone	Inf clone	GE	Annotation
#Clo36	#Clo34	31	Initial
#Clo25	#Clo23	37	Initial
#Clo23	#Clo23	36	Initial
#Clo27	#Clo33	32	Initial
#Clo21	#Clo19	31	Initial
#Clo49	#Clo19	31	Initial
#Clo47	#Clo18	31	Initial
#Clo45	#Clo18	31	Initial
#Clo42	#Clo42	31	Initial
#Clo40	#Clo34	31	Initial
#Clo9	#Clo11	31	Initial
#Clo26	#Clo18	33	Initial
#Clo12	#Clo12	31	Initial
#Clo29	#Clo33	32	Initial
#Clo11	#Clo11	32	Initial
#Clo13	#Clo15	31	Initial
#Clo38	#Clo34	31	Initial
#Clo15	#Clo15	31	Initial
#Clo16	#Clo18	31	Initial
#Clo19	#Clo19	31	Initial
#Clo18	#Clo18	31	Initial
#Clo31	#Clo33	32	Initial
#Clo34	#Clo34	31	Initial
#Clo33	#Clo33	33	Initial
