True clone	Inf clone	GE	Annotation
#Clo29	#Clo14	3	Initial
#Clo25	#Clo25	3	Initial
#Clo27	#Clo27	3	Initial
#Clo20	#Clo18	5	Initial
#Clo22	#Clo18	6	Initial
#Clo23	#Clo23	3	Initial
#Clo44	#Clo30	3	Initial
#Clo41	#Clo37	4	Initial
#Clo9	#Clo11	3	Initial
#Clo13	#Clo11	3	Initial
#Clo11	#Clo11	3	Initial
#Clo39	#Clo39	4	Initial
#Clo15	#Clo15	8	Initial
#Clo14	#Clo14	5	Initial
#Clo16	#Clo18	5	Initial
#Clo18	#Clo18	4	Initial
#Clo31	#Clo31	7	Initial
#Clo30	#Clo30	7	Initial
#Clo37	#Clo37	3	Initial
#Clo34	#Clo34	3	Initial
#Clo33	#Clo33	7	Initial
