True clone	Inf clone	GE	Annotation
#Clo36	#clo2	2	Initial
#Clo25	#clo10	6	Initial
#Clo23	#clo10	5	Initial
#Clo27	#clo1	2	Initial
#Clo21	#clo3	8	Initial
#Clo49	#clo3	0	Initial
#Clo47	#clo5	0	Initial
#Clo45	#clo5	7	Initial
#Clo42	#clo7	5	Initial
#Clo40	#clo2	3	Initial
#Clo9	#clo11	0	Initial
#Clo26	#clo5	2	Initial
#Clo12	#clo12	0	Initial
#Clo29	#clo1	1	Initial
#Clo11	#clo11	1	Initial
#Clo13	#clo6	0	Initial
#Clo38	#clo2	2	Initial
#Clo15	#clo6	1	Initial
#Clo16	#clo5	5	Initial
#Clo19	#clo3	8	Initial
#Clo18	#clo5	3	Initial
#Clo31	#clo1	2	Initial
#Clo34	#clo2	2	Initial
#Clo33	#clo1	3	Initial
#Clo21	#clo8	9	ExtraInf
#Clo42	#clo9	7	ExtraInf
#Clo49	#clo4	1	ExtraInf
