True clone	Inf clone	GE	Annotation
#Clo30	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	4	Initial
#Clo37	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	6	Initial
#Clo35	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	6	Initial
#Clo32	#CloPSec1Sub2CloPSec2Sub2CloM5Sub3CloM4Sub4CloM7Sub4CloM6Sub3CloM1Sub4CloM3Sub3CloM9Sub4CloM8Sub3	3	Initial
#Clo24	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	4	Initial
#Clo25	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	6	Initial
#Clo27	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	3	Initial
#Clo20	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	4	Initial
#Clo21	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	8	Initial
#Clo22	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	5	Initial
#Clo49	#CloPSec1Sub1CloPSec2Sub1	1	Initial
#Clo46	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	8	Initial
#Clo44	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	7	Initial
#Clo42Clo33	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	3	Initial
#Clo41	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	7	Initial
#Clo28	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	7	Initial
#Clo39	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	8	Initial
#Clo34	#CloM3Sub1	6	Initial
#Clo14	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	8	Initial
#Clo17	#CloM8Sub2	3	Initial
#Clo16	#CloM5Sub2CloM4Sub3CloM7Sub3CloM6Sub1CloM1Sub3CloM3Sub2CloM2Sub2CloM9Sub3	7	Initial
#Clo31	#CloM4Sub2	4	Initial
#Clo51	#CloPSec1Sub2CloPSec2Sub2CloM5Sub3CloM4Sub4CloM7Sub4CloM6Sub3CloM1Sub4CloM3Sub3CloM9Sub4CloM8Sub3	0	Initial
#Clo53	#CloPSec1Sub2CloPSec2Sub2CloM5Sub3CloM4Sub4CloM7Sub4CloM6Sub3CloM1Sub4CloM3Sub3CloM9Sub4CloM8Sub3	1	Initial
#Clo19	#CloM8Sub2	4	Initial
#Clo53	#CloM1Sub1	9	ExtraInf
#Clo51	#CloM2Sub3	4	ExtraInf
#Clo53	#CloM6Sub2	5	ExtraInf
#Clo53	#CloM1Sub2CloM2Sub1CloM9Sub2	3	ExtraInf
#Clo53	#CloM4Sub1CloM7Sub1CloM8Sub1	2	ExtraInf
#Clo53	#CloM9Sub1	5	ExtraInf
#Clo53	#CloM7Sub2	11	ExtraInf
#Clo53	#CloM5Sub1	6	ExtraInf
