R4:alt	R4:ref	R5:alt	R5:ref	R6:alt	R6:ref	R7:alt	R7:ref	R1:alt	R1:ref	R2:alt	R2:ref	R3:alt	R3:ref	R8:alt	R8:ref
30	63	1	117	2	105	5	80	12	82	1	98	7	87	8	112
25	59	0	92	5	103	4	86	12	82	0	90	6	113	5	94
3	109	2	87	2	96	0	103	2	94	1	113	2	98	12	87
0	102	8	90	10	78	0	101	2	86	0	87	0	108	8	80
0	98	4	95	8	100	0	100	0	98	0	89	0	109	14	102
2	116	16	77	6	98	5	106	3	101	10	85	2	79	1	91
0	94	16	112	6	96	7	89	5	99	12	89	5	110	0	101
1	113	15	81	8	81	2	106	0	94	3	107	0	101	4	89
14	96	2	109	2	91	2	129	7	108	0	86	2	81	4	91
13	82	1	103	2	101	1	110	9	107	0	108	5	96	2	95
13	81	0	93	2	115	3	99	11	100	0	86	4	87	2	90
13	90	0	117	0	103	0	96	8	106	0	108	7	108	3	91
10	87	18	107	25	79	3	98	2	91	4	103	24	75	28	62
12	94	8	93	25	76	2	109	5	90	1	93	36	61	34	68
11	93	7	116	22	89	8	95	5	95	2	108	28	64	27	67
0	91	1	100	0	100	13	83	2	93	4	97	0	103	1	84
2	103	0	119	13	91	0	104	2	110	2	104	15	84	2	98
10	82	0	108	1	97	1	77	13	95	0	102	0	112	2	85
1	101	1	87	2	103	7	83	3	94	12	85	6	95	3	104
5	96	2	114	3	92	6	92	1	88	2	90	11	76	5	97
34	78	32	80	17	82	12	104	11	88	13	75	14	106	8	87
35	63	20	62	26	78	11	96	24	73	12	91	7	81	13	88
2	106	8	89	3	97	0	101	2	109	1	115	0	93	5	97
14	82	13	89	8	90	35	57	32	65	24	71	9	100	15	80
7	94	15	90	7	110	38	51	26	78	27	68	7	81	5	84
5	84	1	84	17	78	2	105	2	107	2	96	33	73	8	88
5	91	1	94	18	80	1	97	0	91	3	81	22	63	8	84
0	96	16	91	2	86	19	87	12	83	4	97	1	84	1	103
6	92	7	108	5	96	11	83	21	87	29	78	7	89	10	94
