R4:alt	R4:ref	R5:alt	R5:ref	R6:alt	R6:ref	R7:alt	R7:ref	R1:alt	R1:ref	R2:alt	R2:ref	R3:alt	R3:ref	R8:alt	R8:ref
20	74	2	110	12	106	2	109	1	85	4	83	12	74	2	95
5	94	3	99	3	111	37	73	3	116	14	94	17	92	24	78
4	99	2	98	1	98	37	51	2	101	12	86	10	89	23	83
1	87	2	92	5	99	7	95	1	107	1	91	7	91	5	94
3	87	8	84	3	130	3	80	0	112	1	92	3	101	3	95
1	115	2	100	0	68	6	85	26	75	2	90	19	80	5	107
2	88	0	114	0	104	1	98	5	96	0	96	6	90	1	81
3	89	0	100	0	95	1	93	6	103	0	111	6	96	2	106
7	87	0	108	1	104	1	104	3	100	0	93	13	86	4	92
3	100	5	86	19	100	0	92	0	114	8	97	3	99	0	102
4	85	6	81	17	81	0	113	0	95	7	103	1	106	0	114
13	82	0	110	7	84	0	115	0	101	12	88	1	88	1	110
19	88	0	112	4	97	0	115	0	94	12	85	0	98	2	110
36	58	10	95	53	55	36	61	7	93	41	84	30	66	27	57
2	110	0	112	2	97	8	93	1	108	0	104	8	72	10	81
0	116	6	95	1	84	7	73	0	88	5	81	5	112	7	89
0	104	15	95	1	95	1	84	2	120	0	88	2	100	6	85
2	106	1	88	3	94	3	100	1	93	1	87	8	101	4	84
0	89	0	87	1	101	0	95	16	74	0	101	5	87	2	91
0	103	0	108	1	94	0	93	23	90	0	97	11	94	1	95
4	93	20	92	0	100	0	101	0	109	11	107	0	121	3	84
1	83	5	84	2	100	12	73	0	90	8	95	4	94	0	100
23	79	0	95	1	117	0	87	0	102	4	90	1	94	0	103
4	91	2	108	13	84	0	98	5	111	0	92	4	92	0	93
7	114	0	97	5	94	0	110	0	78	6	123	1	98	0	103
11	71	15	76	31	72	7	86	1	113	26	101	6	97	6	114
11	71	9	99	30	67	10	86	4	94	18	81	6	90	7	96
0	100	0	93	0	105	8	76	1	89	0	105	0	105	12	96
3	92	16	89	2	98	5	74	0	104	19	77	0	102	1	106
