True clone	Inf clone	GE	Annotation
#Clo26	#CloM1Sub3CloM3Sub2CloM2Sub3	2	Initial
#Clo21	#CloPSec2Sub2CloM4Sub2	2	Initial
#Clo23	#CloPSec2Sub2CloM4Sub2	0	Initial
#Clo28	#CloM1Sub3CloM3Sub2CloM2Sub3	0	Initial
#Clo5	#CloPSec2Sub2CloM4Sub2	11	Initial
#Clo6	#CloPSec2Sub2CloM4Sub2	8	Initial
#Clo8	#CloPSec2Sub2CloM4Sub2	9	Initial
#Clo10	#CloM3Sub1	1	Initial
#Clo13	#CloM2Sub2	2	Initial
#Clo12	#CloM3Sub1	2	Initial
#Clo15	#CloM2Sub2	3	Initial
#Clo16	#CloM1Sub1	2	Initial
#Clo19Clo18	#CloM1Sub3CloM3Sub2CloM2Sub3	1	Initial
#Clo21	#CloPSec2Sub1	2	ExtraInf
#Clo26	#CloPSec1Sub2	2	ExtraInf
#Clo19Clo18	#CloPSec1Sub1CloM1Sub2CloM2Sub1	1	ExtraInf
#Clo5	#CloM4Sub1	12	ExtraInf
