True clone	Inf clone	GE	Annotation
#Clo24	#CloM3	0	Initial
#Clo26	#CloM3	2	Initial
#Clo27	#CloM2Sub1	1	Initial
#Clo20	#CloM4Sub1	2	Initial
#Clo22	#CloM4Sub1	2	Initial
#Clo29	#CloM2Sub1	2	Initial
#Clo7	#CloPSec1Sub3CloPSec2Sub2CloM5Sub2CloM7Sub2CloM6Sub2	7	Initial
#Clo9	#CloPSec1Sub3CloPSec2Sub2CloM5Sub2CloM7Sub2CloM6Sub2	7	Initial
#Clo12	#CloPSec1Sub3CloPSec2Sub2CloM5Sub2CloM7Sub2CloM6Sub2	7	Initial
#Clo11	#CloPSec1Sub3CloPSec2Sub2CloM5Sub2CloM7Sub2CloM6Sub2	6	Initial
#Clo39	#CloPSec1Sub4CloPSec2Sub3CloM5Sub3CloM4Sub2CloM7Sub4CloM6Sub3CloM1Sub2CloM2Sub2	0	Initial
#Clo14	#CloPSec1Sub3CloPSec2Sub2CloM5Sub2CloM7Sub2CloM6Sub2	7	Initial
#Clo17	#CloPSec1Sub3CloPSec2Sub2CloM5Sub2CloM7Sub2CloM6Sub2	4	Initial
#Clo16	#CloPSec1Sub3CloPSec2Sub2CloM5Sub2CloM7Sub2CloM6Sub2	6	Initial
#Clo33	#CloPSec1Sub2CloPSec2Sub1	1	Initial
#Clo31	#CloM2Sub1	4	Initial
#Clo37	#CloPSec1Sub3CloPSec2Sub2CloM5Sub2CloM7Sub2CloM6Sub2	1	Initial
#Clo35	#CloPSec1Sub3CloPSec2Sub2CloM5Sub2CloM7Sub2CloM6Sub2	2	Initial
#Clo19	#CloPSec1Sub3CloPSec2Sub2CloM5Sub2CloM7Sub2CloM6Sub2	3	Initial
#Clo32	#CloM1Sub1	1	Initial
#Clo39	#CloPSec1Sub1CloM7Sub1	2	ExtraInf
#Clo12	#CloM6Sub1	8	ExtraInf
#Clo39	#CloM7Sub3	7	ExtraInf
#Clo39	#CloM5Sub1	4	ExtraInf
