True clone	Inf clone	GE	Annotation
#Clone1	#Clo0	0	Initial
#Clone2	#Clo0	8	Initial
#Clone3	#Clo14Clo15	4	Initial
#Clone4	#Clo14Clo15	5	Initial
#Clone5	#Clo14Clo15	3	Initial
#Clone6	#Clo0	4	Initial
#Clone7	#Clo14Clo15	22	Initial
#Clone8	#Clo14Clo15	14	Initial
#Clone9	#Clo14Clo15	1	Initial
#Clone10	#Clo14Clo15	9	Initial
#Clone11	#Clo2	0	Initial
#Clone12	#Clo2	2	Initial
#Clone13	#Clo2	3	Initial
#Clone14	#Clo6Clo7	0	Initial
#Clone15	#Clo2	5	Initial
#Clone16	#Clo10	3	Initial
#Clone17	#Clo14Clo15	20	Initial
#Clone18	#Clo14Clo15	19	Initial
#Clone19	#Clo14Clo15	14	Initial
#Clone20	#Clo14Clo15	9	Initial
#Clone21	#Clo14Clo15	15	Initial
#Clone22	#Clo14Clo15	8	Initial
#Clone23	#Clo18	0	Initial
#Clone24	#Clo14Clo15	5	Initial
#Clone25	#Clo14Clo15	30	Initial
#Clone26	#Clo14Clo15	28	Initial
#Clone27	#Clo14Clo15	20	Initial
#Clone28	#Clo4	0	Initial
#Clone29	#Clo6Clo7	1	Initial
#Clone30	#Clo6Clo7	3	Initial
#Clone31	#Clo10	2	Initial
#Clone32	#Clo12	3	Initial
