True clone	Inf clone	GE	Annotation
#Clo25	#Clo11	1	Initial
#Clo27	#Clo11	1	Initial
#Clo20	#Clo8	2	Initial
#Clo49	#Clo12	3	Initial
#Clo47	#Clo3	3	Initial
#Clo45	#Clo9	2	Initial
#Clo43	#Clo4	1	Initial
#Clo40	#Clo12	2	Initial
#Clo41	#Clo16	4	Initial
#Clo8	#Clo9	0	Initial
#Clo29	#Clo11	2	Initial
#Clo11	#Clo17	1	Initial
#Clo10	#Clo9	1	Initial
#Clo13	#Clo16	1	Initial
#Clo38	#Clo12	1	Initial
#Clo15	#Clo3	1	Initial
#Clo22	#Clo8	3	Initial
#Clo16	#Clo8	4	Initial
#Clo32	#Clo14	1	Initial
#Clo30	#Clo14	3	Initial
#Clo36	#Clo12	0	Initial
#Clo35	#Clo15	0	Initial
#Clo34	#Clo14	3	Initial
#Clo18	#Clo8	2	Initial
