True clone	Inf clone	GE	Annotation
#Clo29	#Clo12	2	Initial
#Clo25	#Clo9	1	Initial
#Clo27	#Clo12	0	Initial
#Clo20	#Clo9	11	Initial
#Clo22	#Clo9	10	Initial
#Clo23	#Clo9	1	Initial
#Clo44	#Clo9	4	Initial
#Clo41	#Clo15	1	Initial
#Clo9	#Clo6	1	Initial
#Clo13	#Clo4	0	Initial
#Clo11	#Clo4	1	Initial
#Clo39	#Clo14	0	Initial
#Clo15	#Clo11	5	Initial
#Clo14	#Clo12	4	Initial
#Clo16	#Clo9	11	Initial
#Clo18	#Clo9	12	Initial
#Clo31	#Clo8	8	Initial
#Clo30	#Clo8	8	Initial
#Clo37	#Clo15	0	Initial
#Clo34	#Clo6	1	Initial
#Clo33	#Clo8	9	Initial
