True clone	Inf clone	GE	Annotation
#Clo24	#Clone5	5	Initial
#Clo26	#Clone5	4	Initial
#Clo27	#Clone10	0	Initial
#Clo20	#Clone8	1	Initial
#Clo22	#Clone8	2	Initial
#Clo23	#Clone7	1	Initial
#Clo29	#Clone10	1	Initial
#Clo40	#Clone2	0	Initial
#Clo8	#Clone3	0	Initial
#Clo13	#Clone1	1	Initial
#Clo12	#Clone4	1	Initial
#Clo10	#Clone3	1	Initial
#Clo38	#Clone6	2	Initial
#Clo15	#Clone1	2	Initial
#Clo17	#Clone1	3	Initial
#Clo32	#Clone9	0	Initial
#Clo31	#Clone4	1	Initial
#Clo36	#Clone4	0	Initial
#Clo35	#Clone11	0	Initial
#Clo34	#Clone9	1	Initial
#Clo18	#Clone8	1	Initial
