True clone	Inf clone	GE	Annotation
#Clo29	#clo1	5	Initial
#Clo24	#clo4	6	Initial
#Clo26	#clo4	6	Initial
#Clo21	#clo2	6	Initial
#Clo48	#clo1	3	Initial
#Clo43	#clo6	5	Initial
#Clo41	#clo6	4	Initial
#Clo9	#clo5	5	Initial
#Clo8	#clo9	4	Initial
#Clo28	#clo1	6	Initial
#Clo14	#clo8	6	Initial
#Clo11	#clo5	7	Initial
#Clo39	#clo3	3	Initial
#Clo12	#clo8	5	Initial
#Clo22	#clo4	6	Initial
#Clo17	#clo2	4	Initial
#Clo16	#clo8	7	Initial
#Clo19	#clo2	5	Initial
#Clo32	#clo7	4	Initial
#Clo30	#clo7	4	Initial
#Clo37	#clo3	3	Initial
#Clo35	#clo3	3	Initial
#Clo34	#clo7	5	Initial
