True clone	Inf clone	GE	Annotation
#Clone1	#clo6	8	Initial
#Clone2	#clo14	5	Initial
#Clone3	#clo10	2	Initial
#Clone4	#clo8	0	Initial
#Clone5	#clo11	2	Initial
#Clone6	#clo10	7	Initial
#Clone7	#clo11	5	Initial
#Clone8	#clo10	5	Initial
#Clone9	#clo11	8	Initial
#Clone10	#clo16	0	Initial
#Clone11	#clo16	2	Initial
#Clone12	#clo15	1	Initial
#Clone13	#clo15	2	Initial
#Clone14	#clo13	16	Initial
#Clone15	#clo14	14	Initial
#Clone16	#clo13	7	Initial
#Clone17	#clo13	10	Initial
#Clone18	#clo13	13	Initial
#Clone19	#clo14	9	Initial
#Clone20	#clo9	11	Initial
#Clone21	#clo4	0	Initial
#Clone22	#clo14	2	Initial
#Clone23	#clo6	3	Initial
#Clone24	#clo6	2	Initial
#Clone25	#clo2	0	Initial
#Clone26	#clo4	4	Initial
#Clone27	#clo2	2	Initial
#Clone28	#clo4	3	Initial
#Clone29	#clo6	0	Initial
#Clone30	#clo2	5	Initial
#Clone31	#clo12	2	Initial
#Clone32	#clo10	4	Initial
#Clone33	#clo12	4	Initial
#Clone34	#clo10	5	Initial
#Clone35	#clo1	2	Initial
#Clone36	#clo15	3	Initial
